title,short_title,published,edition,style
"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева","Мякішев, механіка",2004,,theory
"Физика: Колебание и волны. 11 класс: Учебник для углубленного изучения физики. Г. Я. Мякишев, А. З. Синяков","Мякішев, коливання",2002,,theory
Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,"Ландсберг, механіка",1948,,theory
"Элементарный учебник физики.Том 3: Колебания, волны, оптика, атомная физика.Под ред. Г.С. Ландсберга","Ландсберг, коливання",1985,,theory
Высшая математика для начинающих и ее приложения к физике Зельдович Я.Б.,"Зельдович, математика",2010,,theory
"Підручник з фізики 7 клас, Засєкіна Т. М., Засєкін Д. О.","Засєкіна, 7",2015,,theory
"Підручник для 8 класу загальноосвітніх навчальних закладів з поглибленим вивченням фізики, Засєкіна Т. М., Засєкін Д. О.","Засєкіна, 8",2016,,theory
"Підручник для 9 класу для загальноосвітніх навчальних закладів з поглибленим вивченням фізики, Засєкіна Т. М., Засєкін Д. О.","Засєкіна, 9",2017,,theory
"Підручник для 10 класу закладів загальної середньої освіти, профільний рівень, Засєкіна Т. М., Засєкін Д. О.","Засєкіна, 10",2018,,theory
"Підручник для 11 класу загальноосвітніх навчальних закладів, академічний рівень, профільний рівень, Засєкіна Т. М., Засєкін Д. О.","Засєкіна, 11",2011,,theory
"ФИЗИКА, Книга 1. Механика, Бутиков Е. И., Кондратьев А. С.","Бутіков, механіка",2004,,theory
"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",Савченко,2008,,problem
Физика. 8 класс: Сборник задач И. Ю. Ненашев,"Ненашев, 8",2010,,problem
"1001 задача по физике с решениями И.М.Гельфгат, Л.Э.Генденштейн, Л.А.Кирик","Гельфгат, 1001",1998,,problem
Фізика. Олімпіадні задачі. 7-8 класи С. У. Гончаренко Є. В. Коршак,Гончаренко,1998,,problem
Физика. 9 класс: Сборник задач И. Ю. Ненашев,"Ненашев, 9",2010,,problem
"Задачи по физике И.Ш. Слободецкий, Л.Г. Асламазов, библиотечка Квант",Квант,1980,,problem
"Раз задача, два задача А.И. Буздин, А.Р.Зильберман, С.С.Кротов, библиотечка Квант","Раз задача, два задача",1990,,problem
"Яворский Б.М., Пинский А.А. Основы физики. Том 1. Механика. Молекулярная физика. Электродинамика","Яворський, механіка",2003,5,theory
"Яворский Б.М., Пинский А.А. Основы физики. Том 2. Колебания и волны, основы квантовой физики атомов, молекул и твердых тел, физика ядра и элементарных частиц","Яворський, коливання",2003,5,theory
"Физика. 8 класс И.К. Кикоин, А.К. Кикоин","Кікоїн, 8",1986,8,theory
