full_title,grade,section,slug,order_index,title
Рух з постійною швидкістю. Графіки. Елементарні задачі на рух зі змінною швидкістю. Рух зі зв’язками,7-8,Кінематика,const-velocity-motion,1,Рух з постійною швидкістю
Відносна швидкість. Перетворення Галілея,7-8,Кінематика,relative-motion,2,Відносна швидкість
"Сили: тяжіння, реакція опори, вага, тертя, пружності, натягу",7-8,Динаміка,forces,5,Сили у фізиці
Рух зі змінною швидкістю. Рух в полі тяжіння. Криволінійний рух. Рух зі зв’язками,9-10,Кінематика,changing-velocity-motion,3,Рух зі змінною швидкістю
Криволінійний рух. Рух зі зв’язками,9-10,Кінематика,curvilinear-motion,4,Криволінійний рух
Статика,8-9,Динаміка,statics,7,Статика
Закони Ньютона. Сили,9-10,Динаміка,newtons-laws,8,Сили. Закони Ньютона
Енергія. Робота. Прості механізми,7-8,Динаміка,energy-torque,6,Енергія. Робота. Момент сили
Гідростатика. Тиск. Закон Паскаля. Сполучені посудини,7-8,Механіка рідини,hydrostatics,15,Гідростатика
НІСВ. Сили інерції,9-10,Динаміка,inertial-force,10,НІСВ. Сили інерції
Імпульс. Центр мас,9-10,Динаміка,momentum,9,Імпульс. Центр мас
Енергія. Робота. Потенціальні(не) сили,9-10,Динаміка,energy-work,11,Енергія. Робота
Плавання. Сила Архімеда,7-8,Механіка рідини,archimedes-principle,16,Плавання. Сила Архімеда
Основи математичного аналізу,10-11,Математика,math,0,Основи математичного аналізу
Коливання,9-10,Коливання та хвилі,oscillation,19,Коливання
Зіткнення (імпульс + енергія),9-10,Динаміка,collision,12,Зіткнення
Тверде тіло. Обертання твердого тіла. Момент імпульсу,9-10,Динаміка,rotation-angular-momentum,14,Обертання твердого тіла
Гравітаційна сила. Закони Кеплера,9-10,Динаміка,gravity,13,Гравітаційна взаємодія. Закони Кеплера
Деформація та напруга. Хвилі,9-10,Коливання та хвилі,deformation-waves,20,Деформація та напруга. Хвилі
Рух ідеальної рідини,9-10,Механіка рідини,ideal-liquid,17,Рух ідеальної рідини
Рух в’язкої рідини,10-11,Механіка рідини,viscous-liquid,18,Рух в'язкої рідини
