title,theme,literature,start_page,end_page,difficulty
,Статика,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",396,422,2
,Статика,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,138,178,1
,Імпульс. Центр мас,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,107,111,0
,Імпульс. Центр мас,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",284,308,1
,Рух з постійною швидкістю. Графіки. Елементарні задачі на рух зі змінною швидкістю. Рух зі зв’язками,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",29,44,1
,Рух з постійною швидкістю. Графіки. Елементарні задачі на рух зі змінною швидкістю. Рух зі зв’язками,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",72,73,1
,Рух з постійною швидкістю. Графіки. Елементарні задачі на рух зі змінною швидкістю. Рух зі зв’язками,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",44,71,2
,Рух з постійною швидкістю. Графіки. Елементарні задачі на рух зі змінною швидкістю. Рух зі зв’язками,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",73,77,2
,Енергія. Робота. Прості механізми,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,156,162,1
,Енергія. Робота. Прості механізми,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,168,197,1
,Енергія. Робота. Прості механізми,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,198,200,1
,Енергія. Робота. Прості механізми,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,202,212,1
,Енергія. Робота. Прості механізми,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",312,329,2
,Енергія. Робота. Прості механізми,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",336,340,2
,Енергія. Робота. Прості механізми,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",342,347,2
,Закони Ньютона. Сили,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,76,107,1
,Закони Ньютона. Сили,Элементарный учебник физики.Том 1: Механика и молекулярная физика.Под ред. Г.С. Ландсберга,111,119,1
,Закони Ньютона. Сили,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",149,207,2
,Закони Ньютона. Сили,"Физика: Механика. 10 класс: Учебник для углубленного изучения физики. М. М. Балашов, А. И. Гомонова, А. Б. Долицкий и др. Под ред. Г. Я. Мякишева",238,243,2
